,Impressions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
min," 281,007 "," 286,783 "," 863,633 "," 864,172 ", 842 , 322 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
max," 2,267,548 "," 2,266,055 "," 1,856,910 "," 1,777,689 "," 11,259 "," 6,388 ",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Angry Birds,Artist,People,Work,:15 PC for You,:15 Artist,,,,,,,,,,,,,,,,,,,,,,,,,,,
," 409,243 "," 405,123 "," 1,856,910 "," 1,777,689 "," 3,554 "," 3,031 ",,,,,,,,,,,,,,,,,,,,,,,,,,,
," 1,155,348 "," 1,119,860 "," 1,229,061 "," 1,228,768 "," 8,089 "," 3,389 ",,,,,,,,,,,,,,,,,,,,,,,,,,,
," 1,600,457 "," 1,580,308 "," 1,407,620 "," 1,402,715 "," 11,259 "," 5,239 ",,,,,,,,,,,,,,,,,,,,,,,,,,,
," 1,148,951 "," 1,146,884 "," 863,633 "," 864,172 "," 3,091 "," 2,478 ",,,,,,,,,,,,,,,,,,,,,,,,,,,
," 1,011,448 "," 1,009,885 "," 1,190,686 "," 1,187,381 ", -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,
," 833,911 "," 831,869 "," 1,095,949 "," 1,092,548 ", -   , 322 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
," 1,198,422 "," 1,197,313 "," 1,085,489 "," 1,078,493 ", -   ," 6,388 ",,,,,,,,,,,,,,,,,,,,,,,,,,,
," 1,130,326 "," 1,128,512 "," 1,142,500 "," 1,141,325 ", -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,
," 1,980,643 "," 2,033,522 "," 1,391,338 "," 1,390,952 ", -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,
," 1,689,172 "," 1,687,455 "," 1,475,124 "," 1,470,932 ", 2 , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,
," 2,088,779 "," 2,084,829 "," 1,105,809 "," 1,102,911 ", 18 , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,
," 2,267,548 "," 2,266,055 "," 1,528,032 "," 1,526,105 ", 842 , -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,
," 1,389,997 "," 1,388,093 "," 961,936 "," 960,569 "," 3,604 ", -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,
," 1,385,035 "," 1,383,359 "," 1,287,304 "," 1,282,829 "," 6,302 ", 16 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
," 1,030,220 "," 1,025,174 "," 1,512,412 "," 1,518,197 ",, 909 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
